GPCPD1,5194,16.344926
MIR29B2CHG,7990,15.984089
ANK1,535,15.529133
KCNAB3,6346,14.933553
EPB41,3994,14.628511
SEMA7A,11776,14.027622
JDP2,6276,13.753713
URM1,14457,13.640448
SCN1B,11649,13.613451
EEPD1,3769,13.594683
TRPC3,14055,13.584505
OSBPL6,9255,13.574097
LINC01637,7032,13.559697
KCNC3,6351,13.512918
ESRRG,4097,13.315765
EXTL2,4158,13.218841
SCN1A,11648,13.105768
SLC16A7,12044,12.698835
GPAT3,5177,12.685541
SPTSSB,12704,12.660703
NCOA3,8572,12.646487
NT5M,9016,12.584833
STARD5,12845,12.570564
GPR161,5233,12.568755
CORO6,2785,12.549767
SCRT1,11672,12.536066
RHBDL3,11084,12.473855
MAGI2-AS3,7570,12.463626
VAMP1,14540,12.376162
TUBD1,14213,12.359975
LINC01102,6995,12.306472
SLC38A2,12207,12.294645
INTS4P1,6127,12.293307
FASTKD1,4432,12.291759
ENTPD4,3985,12.289635
LYPD5,7511,12.198322
KLF9,6576,12.154137
ZBTB1,14908,12.071327
AGO1,341,11.905222
SERTAD4,11828,11.823257
FGF9,4562,11.798331
IFNLR1,5965,11.781255
NKX6-3,8804,11.759843
EIF5A2,3872,11.752152
PIF1,9787,11.700528
THAP10,13369,11.695135
C6orf47,1644,11.528847
FBXO32,4483,11.509241
FER1L4,4533,11.492798
ZYX,15630,11.486088
CABP1,1706,11.440409
SERTAD4-AS1,11829,11.433932
TTC21B,14144,11.430525
FNDC5,4664,11.40581
KCNC1,6349,11.383119
NR3C2,8949,11.334528
SHD,11943,11.260673
TTC39B,14161,11.25561
STS,12914,11.217874
C4orf33,1622,11.204314
DENND1B,3303,11.164221
PHYH,9762,11.154454
RET,11006,11.14779
ZMAT4,15079,11.106411
KCNT1,6412,11.10327
CACNA2D2,1724,11.081411
BHLHE40,1274,10.982526
SLC39A13,12217,10.92868
CMYA5,2619,10.865788
LRCH1,7355,10.848208
CACNB4,1729,10.842349
FSTL1,4746,10.817755
MKNK2,8012,10.810173
PLEKHH3,9951,10.808003
SLC24A2,12083,10.756737
ACAN,107,10.752423
CDS1,2239,10.728871
ECM1,3737,10.68768
LPCAT4,7346,10.67763
NFIC,8725,10.662889
ZBED5,14903,10.660568
SPAG4,12592,10.629018
RAD54B,10782,10.627441
ADAM23,209,10.615146
MOGAT1,8071,10.587984
TIFA,13418,10.584989
HR,5799,10.566804
HTR1F,5873,10.566505
PIM1,9824,10.539495
ASB13,900,10.52942
IPW,6151,10.517324
SKIDA1,12006,10.51629
KCNA1,6339,10.49178
CPLX1,2820,10.474734
SYCP2,13013,10.472844
PLAGL1,9899,10.47183
PCP4L1,9526,10.445568
TFAM,13332,10.445108
ANKRD29,574,10.391838
NR3C1,8948,10.383153
GAS2,4892,10.371991
PDE4A,9564,10.274325
PLXDC1,9996,10.272699
STAC2,12827,10.247588
TGM1,13362,10.243749
SYT2,13058,10.218251
ZBTB16,14913,10.21402
SYNE4,13030,10.194538
PLA2R1,9892,10.180422
CLMP,2570,10.133449
